GeneId,Chr,Start,End,Strand,Length,Cp1,Cp2,Cp3,Cm1,Cm2,Cm3,WT1,WT2,WT3,dL1,dL3
dnaA_RBAM_000010,NC_009725.1,412,1752,+,1341,585,591,984,898,1061,1417,1458,1996,1291,372,1560
dnaN_RBAM_000020,NC_009725.1,1937,3073,+,1137,2582,3585,4678,3217,4161,5293,4990,4652,5455,1712,5710
yaaA_RBAM_000030,NC_009725.1,3208,3423,+,216,87,85,140,41,54,82,49,96,62,24,54
recF_RBAM_000040,NC_009725.1,3439,4551,+,1113,984,1183,1041,447,716,1228,682,1513,714,236,845
yaaB_RBAM_000050,NC_009725.1,4569,4814,+,246,199,181,199,87,87,250,122,267,135,30,142
gyrB_RBAM_000060,NC_009725.1,4871,6787,+,1917,1732,1946,2127,1255,1540,1990,1976,2338,2043,825,2184
gyrA_RBAM_000070,NC_009725.1,7081,9462,+,2382,2993,2847,3534,2724,2885,3228,3351,3494,3112,2685,3820
yaaC_RBAM_000110,NC_009725.1,14626,15576,-,951,9,14,12,16,10,25,16,18,17,4,22
guaB_RBAM_000120,NC_009725.1,15697,17163,+,1467,1572,2822,2174,2336,3018,2521,3428,3175,2892,1251,3285
dacA_RBAM_000130,NC_009725.1,17316,18647,+,1332,1208,1509,2178,1059,1392,2250,1521,2752,2030,328,1996
pdxS_RBAM_000140,NC_009725.1,18845,19729,+,885,363,611,463,558,673,726,978,1138,718,508,774
pdxT_RBAM_000150,NC_009725.1,19751,20341,+,591,207,401,294,340,419,376,824,878,450,246,396
serS_RBAM_000160,NC_009725.1,20661,21938,+,1278,2218,2758,1250,1586,1572,1350,2356,1693,1670,1419,2051
glxK_RBAM_000170,NC_009725.1,21949,23094,-,1146,269,373,249,296,307,356,459,721,273,111,320
dcK_RBAM_000190,NC_009725.1,23535,24188,-,654,538,411,682,336,351,821,435,763,423,161,528
dgk_RBAM_000200,NC_009725.1,24185,24808,-,624,460,417,618,159,227,512,187,657,325,89,369
yaaH_RBAM_000210,NC_009725.1,24904,26184,-,1281,32,32,27,54,74,49,42,32,41,51,62
yaaI_RBAM_000220,NC_009725.1,26259,26810,-,552,385,357,244,342,442,395,387,351,432,176,663
